day_start,day_end,game_time,home_team,home_venue,away_team
"datetime64[ns, US/Eastern]","datetime64[ns, US/Eastern]","datetime64[ns, US/Eastern]",object,object,object
2022-09-30 00:00:00-04:00,2022-09-30 23:59:59-04:00,2022-09-30 06:00:00-04:00,Washington Wizards,Capital One Arena,Golden State Warriors
2022-09-30 00:00:00-04:00,2022-09-30 23:59:59-04:00,2022-09-30 22:00:00-04:00,LA Clippers,crypto.com Arena,Ra'anana Maccabi Ra'anana
2022-10-01 00:00:00-04:00,2022-10-01 23:59:59-04:00,2022-10-01 20:00:00-04:00,Milwaukee Bucks,BMO Harris Bradley Center,Memphis Grizzlies
2022-10-02 00:00:00-04:00,2022-10-02 23:59:59-04:00,2022-10-02 01:00:00-04:00,Golden State Warriors,ORACLE Arena,Washington Wizards
2022-10-02 00:00:00-04:00,2022-10-02 23:59:59-04:00,2022-10-02 13:00:00-04:00,Boston Celtics,TD Garden,Charlotte Hornets
2022-10-02 00:00:00-04:00,2022-10-02 23:59:59-04:00,2022-10-02 18:00:00-04:00,Toronto Raptors,Scotiabank Arena,Utah Jazz
2022-10-02 00:00:00-04:00,2022-10-02 23:59:59-04:00,2022-10-02 19:00:00-04:00,Houston Rockets,Toyota Center (Houston),San Antonio Spurs
2022-10-02 00:00:00-04:00,2022-10-02 23:59:59-04:00,2022-10-02 22:00:00-04:00,Phoenix Suns,Footprint Center,Adelaide 36ers
2022-10-03 00:00:00-04:00,2022-10-03 23:59:59-04:00,2022-10-03 19:30:00-04:00,Brooklyn Nets,Prudential Center,Philadelphia 76ers
2022-10-03 00:00:00-04:00,2022-10-03 23:59:59-04:00,2022-10-03 20:00:00-04:00,Memphis Grizzlies,FedExForum,Orlando Magic
2022-10-03 00:00:00-04:00,2022-10-03 23:59:59-04:00,2022-10-03 21:00:00-04:00,Denver Nuggets,Ball Arena,Oklahoma City Thunder
2022-10-03 00:00:00-04:00,2022-10-03 23:59:59-04:00,2022-10-03 22:30:00-04:00,Los Angeles Lakers,crypto.com Arena,Sacramento Kings
2022-10-03 00:00:00-04:00,2022-10-03 23:59:59-04:00,2022-10-03 22:30:00-04:00,LA Clippers,crypto.com Arena,Portland Trail Blazers
2022-10-04 00:00:00-04:00,2022-10-04 23:59:59-04:00,2022-10-04 19:00:00-04:00,New York Knicks,Madison Square Garden,Detroit Pistons
2022-10-04 00:00:00-04:00,2022-10-04 23:59:59-04:00,2022-10-04 19:30:00-04:00,Miami Heat,FTX Arena,Minnesota Timberwolves
2022-10-04 00:00:00-04:00,2022-10-04 23:59:59-04:00,2022-10-04 21:30:00-04:00,Chicago Bulls,United Center,New Orleans Pelicans
2022-10-04 00:00:00-04:00,2022-10-04 23:59:59-04:00,2022-10-04 22:00:00-04:00,Portland Trail Blazers,Moda Center,Utah Jazz
2022-10-05 00:00:00-04:00,2022-10-05 23:59:59-04:00,2022-10-05 19:00:00-04:00,Charlotte Hornets,Spectrum Center,Indiana Pacers
2022-10-05 00:00:00-04:00,2022-10-05 23:59:59-04:00,2022-10-05 19:00:00-04:00,Philadelphia 76ers,Wells Fargo Center,Cleveland Cavaliers
2022-10-05 00:00:00-04:00,2022-10-05 23:59:59-04:00,2022-10-05 19:30:00-04:00,Boston Celtics,TD Garden,Toronto Raptors
2022-10-05 00:00:00-04:00,2022-10-05 23:59:59-04:00,2022-10-05 20:00:00-04:00,Oklahoma City Thunder,Paycom Center,Dallas Mavericks
2022-10-05 00:00:00-04:00,2022-10-05 23:59:59-04:00,2022-10-05 22:00:00-04:00,Los Angeles Lakers,crypto.com Arena,Phoenix Suns
2022-10-06 00:00:00-04:00,2022-10-06 23:59:59-04:00,2022-10-06 12:00:00-04:00,Atlanta Hawks,State Farm Arena,Milwaukee Bucks
2022-10-06 00:00:00-04:00,2022-10-06 23:59:59-04:00,2022-10-06 19:30:00-04:00,Brooklyn Nets,Prudential Center,Miami Heat
2022-10-06 00:00:00-04:00,2022-10-06 23:59:59-04:00,2022-10-06 20:00:00-04:00,Oklahoma City Thunder,Paycom Center,Adelaide 36ers
2022-10-06 00:00:00-04:00,2022-10-06 23:59:59-04:00,2022-10-06 20:00:00-04:00,San Antonio Spurs,AT&T Center,Orlando Magic
2022-10-06 00:00:00-04:00,2022-10-06 23:59:59-04:00,2022-10-06 22:00:00-04:00,Portland Trail Blazers,Moda Center,Ra'anana Maccabi Ra'anana
2022-10-06 00:00:00-04:00,2022-10-06 23:59:59-04:00,2022-10-06 22:00:00-04:00,Los Angeles Lakers,crypto.com Arena,Minnesota Timberwolves
2022-10-07 00:00:00-04:00,2022-10-07 23:59:59-04:00,2022-10-07 19:30:00-04:00,Charlotte Hornets,Spectrum Center,Boston Celtics
2022-10-07 00:00:00-04:00,2022-10-07 23:59:59-04:00,2022-10-07 19:30:00-04:00,New York Knicks,Madison Square Garden,Indiana Pacers
2022-10-07 00:00:00-04:00,2022-10-07 23:59:59-04:00,2022-10-07 20:00:00-04:00,Chicago Bulls,United Center,Denver Nuggets
2022-10-07 00:00:00-04:00,2022-10-07 23:59:59-04:00,2022-10-07 20:00:00-04:00,Houston Rockets,Toyota Center (Houston),Toronto Raptors
2022-10-07 00:00:00-04:00,2022-10-07 23:59:59-04:00,2022-10-07 20:00:00-04:00,Memphis Grizzlies,FedExForum,Miami Heat
2022-10-07 00:00:00-04:00,2022-10-07 23:59:59-04:00,2022-10-07 20:00:00-04:00,New Orleans Pelicans,Smoothie King Center,Detroit Pistons
2022-10-07 00:00:00-04:00,2022-10-07 23:59:59-04:00,2022-10-07 20:30:00-04:00,Dallas Mavericks,American Airlines Center,Orlando Magic
2022-10-08 00:00:00-04:00,2022-10-08 23:59:59-04:00,2022-10-08 12:00:00-04:00,Milwaukee Bucks,BMO Harris Bradley Center,Atlanta Hawks
2022-10-09 00:00:00-04:00,2022-10-09 23:59:59-04:00,2022-10-09 18:00:00-04:00,Toronto Raptors,Scotiabank Arena,Chicago Bulls
2022-10-09 00:00:00-04:00,2022-10-09 23:59:59-04:00,2022-10-09 19:00:00-04:00,Oklahoma City Thunder,Paycom Center,Ra'anana Maccabi Ra'anana
2022-10-09 00:00:00-04:00,2022-10-09 23:59:59-04:00,2022-10-09 19:00:00-04:00,San Antonio Spurs,AT&T Center,New Orleans Pelicans
2022-10-09 00:00:00-04:00,2022-10-09 23:59:59-04:00,2022-10-09 20:30:00-04:00,Golden State Warriors,ORACLE Arena,Los Angeles Lakers
2022-10-09 00:00:00-04:00,2022-10-09 23:59:59-04:00,2022-10-09 21:00:00-04:00,Sacramento Kings,Sleep Train Arena,Portland Trail Blazers
2022-10-09 00:00:00-04:00,2022-10-09 23:59:59-04:00,2022-10-09 22:30:00-04:00,LA Clippers,crypto.com Arena,Minnesota Timberwolves
2022-10-10 00:00:00-04:00,2022-10-10 23:59:59-04:00,2022-10-10 19:00:00-04:00,Charlotte Hornets,Spectrum Center,Washington Wizards
2022-10-10 00:00:00-04:00,2022-10-10 23:59:59-04:00,2022-10-10 19:00:00-04:00,Cleveland Cavaliers,Rocket Mortgage FieldHouse,Philadelphia 76ers
2022-10-10 00:00:00-04:00,2022-10-10 23:59:59-04:00,2022-10-10 19:30:00-04:00,Miami Heat,FTX Arena,Houston Rockets
2022-10-10 00:00:00-04:00,2022-10-10 23:59:59-04:00,2022-10-10 21:00:00-04:00,Denver Nuggets,Ball Arena,Phoenix Suns
2022-10-11 00:00:00-04:00,2022-10-11 23:59:59-04:00,2022-10-11 19:00:00-04:00,Detroit Pistons,Little Caesars Arena,Oklahoma City Thunder
2022-10-11 00:00:00-04:00,2022-10-11 23:59:59-04:00,2022-10-11 19:00:00-04:00,Orlando Magic,Amway Center,Memphis Grizzlies
2022-10-11 00:00:00-04:00,2022-10-11 23:59:59-04:00,2022-10-11 20:00:00-04:00,Chicago Bulls,United Center,Milwaukee Bucks
2022-10-11 00:00:00-04:00,2022-10-11 23:59:59-04:00,2022-10-11 21:00:00-04:00,Utah Jazz,Vivint Arena,San Antonio Spurs
2022-10-11 00:00:00-04:00,2022-10-11 23:59:59-04:00,2022-10-11 22:00:00-04:00,Golden State Warriors,ORACLE Arena,Portland Trail Blazers
2022-10-12 00:00:00-04:00,2022-10-12 23:59:59-04:00,2022-10-12 19:00:00-04:00,Cleveland Cavaliers,Rocket Mortgage FieldHouse,Atlanta Hawks
2022-10-12 00:00:00-04:00,2022-10-12 23:59:59-04:00,2022-10-12 19:00:00-04:00,Indiana Pacers,Gainbridge Coliseum,New York Knicks
2022-10-12 00:00:00-04:00,2022-10-12 23:59:59-04:00,2022-10-12 19:00:00-04:00,Philadelphia 76ers,Wells Fargo Center,Charlotte Hornets
2022-10-12 00:00:00-04:00,2022-10-12 23:59:59-04:00,2022-10-12 19:30:00-04:00,Miami Heat,FTX Arena,New Orleans Pelicans
2022-10-12 00:00:00-04:00,2022-10-12 23:59:59-04:00,2022-10-12 19:30:00-04:00,Milwaukee Bucks,BMO Harris Bradley Center,Brooklyn Nets
2022-10-12 00:00:00-04:00,2022-10-12 23:59:59-04:00,2022-10-12 22:00:00-04:00,Los Angeles Lakers,crypto.com Arena,Minnesota Timberwolves
2022-10-12 00:00:00-04:00,2022-10-12 23:59:59-04:00,2022-10-12 22:00:00-04:00,Phoenix Suns,Footprint Center,Sacramento Kings
2022-10-12 00:00:00-04:00,2022-10-12 23:59:59-04:00,2022-10-12 22:30:00-04:00,LA Clippers,crypto.com Arena,Denver Nuggets
2022-10-13 00:00:00-04:00,2022-10-13 23:59:59-04:00,2022-10-13 19:00:00-04:00,Detroit Pistons,Little Caesars Arena,Memphis Grizzlies
2022-10-13 00:00:00-04:00,2022-10-13 23:59:59-04:00,2022-10-13 20:00:00-04:00,San Antonio Spurs,AT&T Center,Oklahoma City Thunder
2022-10-14 00:00:00-04:00,2022-10-14 23:59:59-04:00,2022-10-14 19:00:00-04:00,Indiana Pacers,Gainbridge Coliseum,Houston Rockets
2022-10-14 00:00:00-04:00,2022-10-14 23:59:59-04:00,2022-10-14 19:00:00-04:00,Orlando Magic,Amway Center,Cleveland Cavaliers
2022-10-14 00:00:00-04:00,2022-10-14 23:59:59-04:00,2022-10-14 19:00:00-04:00,Toronto Raptors,Scotiabank Arena,Boston Celtics
2022-10-14 00:00:00-04:00,2022-10-14 23:59:59-04:00,2022-10-14 19:30:00-04:00,New York Knicks,Madison Square Garden,Washington Wizards
2022-10-14 00:00:00-04:00,2022-10-14 23:59:59-04:00,2022-10-14 20:00:00-04:00,Minnesota Timberwolves,Target Center,Brooklyn Nets
2022-10-14 00:00:00-04:00,2022-10-14 23:59:59-04:00,2022-10-14 20:00:00-04:00,New Orleans Pelicans,Smoothie King Center,Atlanta Hawks
2022-10-14 00:00:00-04:00,2022-10-14 23:59:59-04:00,2022-10-14 21:00:00-04:00,Utah Jazz,Vivint Arena,Dallas Mavericks
2022-10-14 00:00:00-04:00,2022-10-14 23:59:59-04:00,2022-10-14 22:00:00-04:00,Golden State Warriors,ORACLE Arena,Denver Nuggets
2022-10-14 00:00:00-04:00,2022-10-14 23:59:59-04:00,2022-10-14 22:00:00-04:00,Sacramento Kings,Sleep Train Arena,Los Angeles Lakers
2022-10-18 00:00:00-04:00,2022-10-18 23:59:59-04:00,2022-10-18 19:30:00-04:00,Boston Celtics,TD Garden,Philadelphia 76ers
2022-10-18 00:00:00-04:00,2022-10-18 23:59:59-04:00,2022-10-18 22:00:00-04:00,Golden State Warriors,ORACLE Arena,Los Angeles Lakers
