team_nick,team_name,team_id,team_abbr,team_area,team_venue
object,object,object,object,object,object
Dream,Atlanta Dream,20,ATL,Atlanta,Gateway Center
Sky,Chicago Sky,19,CHI,Chicago,Allstate Arena
Sun,Connecticut Sun,18,CONN,Connecticut,Mohegan Sun Arena
Wings,Dallas Wings,3,DAL,Dallas,College Park Center
Fever,Indiana Fever,5,IND,Indiana,Gainbridge Fieldhouse
Aces,Las Vegas Aces,17,LV,Las Vegas,Frost Bank Center
Sparks,Los Angeles Sparks,6,LA,Los Angeles,crypto.com Arena
Lynx,Minnesota Lynx,8,MIN,Minnesota,Target Center
Liberty,New York Liberty,9,NY,New York,Barclays Center
Mercury,Phoenix Mercury,11,PHX,Phoenix,Footprint Center
Storm,Seattle Storm,14,SEA,Seattle,KeyArena
Mystics,Washington Mystics,16,WSH,Washington,Entertainment & Sports Arena
